"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
212,211.4,211.4,211.8,212.1,211.9,211.7,211.4,211.8,211.6,211.8,211.8,211.6,211.4,211.8,211.8,211.9,211.7,211.7,211.9,211.6,211.9,211.7,211.6,211.8,211.8,212.1,212,211.5,211.6,211.8,211.5,211.8,212.1,211.7,211.9,211.8,211.9,212.1,211.9,211.9,212,212.1,211.9,211.8,212.1,211.7,211.5,211.4,211.4,211.7,211.7,211.2,210.6,211.1,210.9,209.2,206.8,206.2,205.5,204.4,203.5,202.7,200.9,199.1,198.1,198.9,199.1,199.2,198.8,199,199.6,199.7,199.9,199.5,198.8,198.7,198.3,197.5,197.2,197.2,197.2,197.1,196.7,196,195.9,196.4,195.9,195.8,195.9,195,194.4,194.8,194.8,195.2,195.5,196,196.2,196,196.2
217.9,216.4,216.4,216.5,216.3,216.5,216.5,216.7,216.7,216.9,217.1,216.9,217,217,216.7,217.1,217.2,217.2,216.8,217.1,217.3,217.4,217.5,217.6,217.6,217.8,217.6,217.7,217.5,217.7,217.4,217.3,216.8,216.8,217.2,217.4,217.4,217.7,217.8,217.7,217.7,217.9,217.7,217.5,217.5,217.5,217.2,217.1,217.1,216.9,217.2,216.8,216.9,216.6,216.2,215.5,214.7,213.5,212.2,211.7,210.7,210.3,208.9,206,206.3,204.3,203.5,202.3,201.7,200.6,199.9,198.8,198.1,197.1,196.2,196.2,195.5,195.5,195.2,194.8,194.4,194.1,194.2,194.1,193.7,193.2,193.2,193.1,192.7,192.5,192.4,192.4,192,192,192.1,192,192.5,192.2,192.3,192.2
209.2,209,208.9,209.2,209,209.2,209.3,209.6,210,210.7,211.2,211.8,212.2,212.6,213,213.3,213.3,213.7,213.7,213.9,214,214.2,214,213.9,214.2,214.4,214.8,215.2,215,215.3,215.4,215.7,215.8,216.1,216.3,216.3,216.2,215.9,216.5,216.9,217.5,217.8,217.8,217.6,217.4,217.3,216.8,216.4,216.8,217.5,217.6,218.1,218.3,217.9,217.8,217.8,217.6,217.3,216.7,216.3,215.8,214.9,214.5,214,213.7,213.1,212.7,212.3,211.1,209.8,208.8,207.6,206.8,205.8,205.5,204.6,203.6,202.9,202.4,200.4,198.2,197,196.4,195.3,194.2,194.1,194,193.5,193.1,192.8,192.5,192,190.5,190.1,189.9,189.7,188.9,187.9,187.3,187.2
208.6,208.6,208.7,208.7,208.7,208.8,208.7,208.7,208.6,208.7,208.8,208.5,208.5,208.7,208.9,209,208.9,208.8,209,208.9,208.8,208.9,209.1,209,209.3,209.7,210.2,211.2,212.8,213.7,215,216,217.4,218.2,218.2,217.9,218.1,218.2,218.2,218,217.5,217.3,216.8,216.1,216,215.6,215.1,214.7,214.1,213.5,212.4,211.6,210.6,209.9,209.6,208.9,208.6,208.1,207.5,206.9,205.2,203.9,202.6,201.8,201.1,200.8,199.6,198.6,198.1,196.4,195.4,194.4,193.3,192,191.2,190.5,189.6,189.3,188.6,188.8,188.7,188.4,188.2,187.9,187.6,187.4,187.2,186.9,186.7,186.4,186.1,185.5,185.2,185.2,184.9,184.7,184.7,184.6,184.1,183.9
208.3,207.9,207.9,207.8,207.9,207.9,208,207.7,207.9,207.9,208,208.1,207.8,208.1,208.6,209.3,210.3,212.2,214.7,216,217.3,219,220,220.4,220.8,221.5,222.1,222.5,222.5,222.2,221.6,221.5,221.3,221.3,221.6,221.7,221.6,221.3,221.3,220.9,220.3,219.8,220,219.8,219.5,218.9,218.2,217.6,217.1,216.1,215.9,215.8,215,214.3,213.8,213.3,213.2,212.9,212.3,212.1,211.6,211,210.4,210.2,209.8,210.2,210.3,209.8,209.2,208.6,208.3,208.2,207.3,206.8,205.9,205.3,204.8,204.3,203.5,203,202.5,201.9,201.7,201.8,200.7,200,199.7,199.3,198.8,197.9,196.8,195.3,194.1,193.3,193.2,193.7,194.2,194.3,194.7,194.5
207.6,207.8,207.8,207.9,208,207.9,207.9,207.7,207.9,208,208.2,208.1,208,207.8,207.9,208,207.9,208.6,209.5,211.1,213.2,214.4,215.1,216.2,217.7,219.8,220.3,220.2,219.9,220.7,221.7,221.7,221.3,220.6,220.2,220.2,220.3,219.8,219.4,219.1,218.6,218.2,217.8,217.6,217.4,217,216.7,216.3,215.7,214.9,214.3,213.8,213.1,212.5,212.3,211.9,210.8,210.6,210.2,209.4,208.7,208.1,207.7,207.1,206.6,206.1,205.6,205,204.4,204.2,203.9,203.3,203.2,203.2,203.1,202.6,202.3,202,201.7,201.6,201.2,201,200.6,199.9,199.5,198.9,198.6,198.3,198.1,198,197.9,197.9,197.9,197.6,197.3,197.1,197.1,196.7,196.1,195.5
203.4,203.8,203.8,203.7,203.8,203.9,203.9,204,203.8,204,204.1,204,204.2,204,204.1,204.1,204.4,204.3,204.1,204.4,204.7,204.6,204.9,205,206.2,207.4,209.4,210.3,211.4,212.6,213.5,215.4,216.3,217.3,217.8,217.6,217.3,217.2,217,216.7,215.6,214.9,214.2,212.4,211.4,210.5,210,209.2,208.7,207.6,207.4,207.3,206.5,205.7,205.6,204.6,203.9,203.8,203.7,203.5,203.2,202.5,201.8,201,199.7,198.6,197.6,197.1,197.3,197.3,197.5,197,195.9,195.3,195.2,194,193.4,193.2,193.3,193.5,193.1,192.6,192.3,192.3,192.4,192.6,192.7,192.4,192.1,191.6,191.2,190.9,190.8,190.7,190.6,190.1,189.7,189.3,189.1,189.3
207.2,206.9,207,207,206.7,206.8,206.9,207,207,206.8,207,206.9,207,207.1,207.2,207,206.8,207.2,207.1,207.2,206.9,206.8,206.8,207.1,206.8,206.9,207,206.8,206.8,207.3,207.1,207.1,206.9,207.2,208.3,209.3,210.1,209.9,209.9,210.2,209.1,208.5,208.6,208.1,208.6,208.8,206.3,205.3,205.3,205,204.7,202.9,201.8,202.5,202.3,201.1,199.9,199.3,198.9,197.8,197,197.7,197.5,197.5,196.8,196.8,196.6,195.8,195.9,196.2,196,196.1,195.6,195.7,195.2,194.5,193.7,193.6,193.2,193.2,192.6,192.2,192,191.9,192,191.7,191.9,191.9,191.8,192.2,191.8,191.3,191.4,191,191.2,191.1,191.6,191.1,191.3,191.5
209.7,209.9,209.7,209.6,209.5,209.6,209.6,209.7,209.6,209.5,209.6,209.5,209.5,209.4,209.5,209.5,209.6,209.4,209.4,209.5,209.5,209.6,209.6,209.7,209.6,209.6,209.7,209.5,209.6,209.6,209.5,209.6,209.6,209.7,209.7,209.6,209.5,209.4,209.6,209.6,209.4,209.3,209.2,209.1,209.1,209.1,209,208.9,208.8,208.8,208.6,208.7,208.6,208.5,208.4,208,207.5,207.1,206.9,207,206.4,206,205.5,205.6,205.2,204.3,204.2,203.7,202,201.1,201.4,201.5,200.8,200.7,201.5,202.3,203.4,204.5,204.9,204.8,203.7,202.7,202.1,200.8,198.9,197.7,197,194.7,194.2,194.6,194,192.9,191.7,191.7,191.5,190.9,190.6,190.6,190.8,191.1
213.6,213.5,213.5,213.5,213.4,213.3,213.3,213.4,213.3,213.3,213.4,213.2,213.3,213.3,213.6,213.3,213.6,213.3,213.2,213.4,213.4,213.6,213.6,213.8,213.8,213.8,213.4,213.6,213.2,213.3,213.6,213.4,213.3,213.4,213.5,213.4,213.4,213.2,213.3,213.4,213.2,213.3,212.9,212.3,211.9,211.7,212.2,212.1,211.7,211.2,211.3,210.8,210.5,210.2,209.7,208.4,207.7,206.6,206,205.3,204.9,204.4,203.9,203,202.8,202.7,202.6,202.1,202.2,201.1,199.3,199.3,196.9,196.7,196.1,195.6,195.9,196.1,195.9,195.8,196,196.1,195.8,195.9,195.7,195.4,195.4,195.2,195.2,195.5,195.3,195.5,195.9,195.9,195.8,195.8,196.3,196.4,196.1,196.7
