"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
23.0833,23.0857,23.0868,23.0875,23.088,23.0884,23.0889,23.0892,23.0892,23.0892,23.0893,23.0905,23.0912,23.0914,23.0915,23.0912,23.0909,23.0912,23.0919,23.0922,23.0923,23.0925,23.0926,23.0925,23.0936,23.0934,23.0941,23.0943,23.0939,23.0938,23.0939,23.0946,23.0947,23.0951,23.0955,23.0957,23.0956,23.096,23.0954,23.0957,23.0955,23.0954,23.0935,23.091,23.0892,23.0855,23.074,23.0381,23.0081,22.9422,22.903,22.7764,22.6998,22.6289,22.5108,22.3359,22.118,21.91,21.7658,21.6113,21.4404,21.2955,21.1605,21.076,20.969,20.8664,20.7519,20.6323,20.5191,20.442,20.3443,20.2545,20.1599,20.0331,19.9382,19.8138,19.7197,19.6105,19.5254,19.4228,19.3135,19.2392,19.139,19.0512,18.9728,18.8833,18.7552,18.6384,18.5498,18.4466,18.3665,18.2596,18.1514,18.0625,17.9646,17.8502,17.7573,17.6517,17.5247,17.4187
23.6123,23.6125,23.6133,23.6003,23.6026,23.5952,23.5779,23.5555,23.5308,23.5101,23.49,23.47,23.4511,23.422,23.3951,23.3797,23.3607,23.3334,23.3122,23.2892,23.2716,23.2486,23.2267,23.1888,23.1565,23.136,23.1235,23.1116,23.1016,23.0869,23.0783,23.0628,23.0537,23.0456,23.0368,23.0314,23.0218,23.0132,23.0066,22.9997,22.9954,22.9904,22.986,22.9834,22.9781,22.9722,22.9671,22.96,22.9527,22.9475,22.94,22.9337,22.9253,22.9135,22.8961,22.8617,22.8297,22.796,22.7482,22.6761,22.5748,22.4689,22.3958,22.2865,22.1861,22.086,21.9731,21.8875,21.786,21.7133,21.6228,21.501,21.3884,21.2628,21.1587,21.0731,20.9893,20.8865,20.796,20.7036,20.6168,20.5024,20.4209,20.3504,20.2562,20.1539,20.0739,19.9284,19.8235,19.6973,19.6098,19.4854,19.3942,19.3212,19.2207,19.1154,18.9723,18.8463,18.731,18.6233
25.3259,25.3206,25.3198,25.3227,25.3151,25.2706,25.2307,25.1688,25.1326,25.0945,25.0727,25.0175,24.9646,24.9061,24.8412,24.786,24.7256,24.6595,24.6163,24.5813,24.5379,24.5105,24.4763,24.4483,24.4121,24.3856,24.3513,24.317,24.287,24.2285,24.1781,24.1371,24.0925,24.0332,23.9868,23.9391,23.8956,23.8574,23.8103,23.7795,23.7428,23.6859,23.6375,23.6069,23.5751,23.5286,23.4817,23.4352,23.3732,23.3219,23.2728,23.2055,23.1392,23.0777,23.0145,22.9554,22.9021,22.8603,22.8068,22.767,22.7215,22.6744,22.6157,22.5557,22.5106,22.4613,22.4082,22.3491,22.2786,22.2039,22.1328,22.054,21.9612,21.8923,21.8047,21.7241,21.6545,21.5655,21.4369,21.3085,21.164,21.0372,20.8958,20.8008,20.662,20.5497,20.4306,20.3044,20.1959,20.0397,19.9068,19.7987,19.6877,19.5833,19.4575,19.3408,19.2536,19.1378,18.988,18.7983
25.5258,25.5276,25.5278,25.5271,25.5276,25.5253,25.5215,25.5166,25.5056,25.5002,25.4984,25.4983,25.4985,25.4973,25.4965,25.4928,25.4891,25.4859,25.4833,25.4637,25.4524,25.4398,25.4323,25.4263,25.4227,25.4059,25.3696,25.2607,25.1447,25.0155,24.9031,24.7755,24.6548,24.5267,24.4207,24.3215,24.204,24.0982,24.0191,23.9366,23.8561,23.7876,23.6924,23.5997,23.5045,23.413,23.3169,23.2032,23.1106,23.0289,22.947,22.8436,22.7297,22.6223,22.528,22.4604,22.3618,22.2754,22.1791,22.0969,21.996,21.8978,21.7969,21.6932,21.6079,21.5133,21.4195,21.3433,21.2373,21.1363,21.0374,20.9717,20.8878,20.7969,20.7148,20.6247,20.5434,20.4065,20.2945,20.1689,20.0507,19.9455,19.8493,19.7725,19.6865,19.5774,19.4839,19.3831,19.2739,19.1444,19.0087,18.911,18.8066,18.699,18.5913,18.4689,18.3573,18.2397,18.1008,17.9308
25.8617,25.8639,25.8663,25.8672,25.8666,25.8633,25.8593,25.8542,25.8492,25.8474,25.846,25.845,25.8381,25.812,25.7814,25.6968,25.6081,25.4737,25.3569,25.2504,25.1378,25.0117,24.8758,24.7925,24.6984,24.6337,24.5516,24.4483,24.3671,24.3014,24.2362,24.1621,24.0858,23.9995,23.9276,23.8663,23.781,23.7149,23.6407,23.5558,23.4958,23.4395,23.4009,23.3529,23.3041,23.2461,23.2087,23.1507,23.0957,23.0483,22.9959,22.9496,22.8897,22.8328,22.7925,22.749,22.6993,22.652,22.6099,22.5593,22.5128,22.4611,22.4233,22.3797,22.331,22.2821,22.2327,22.1897,22.1456,22.1053,22.061,22.0157,21.9746,21.9108,21.8528,21.7981,21.7445,21.6788,21.6144,21.5378,21.4528,21.3768,21.3003,21.2113,21.1204,21.0438,20.9798,20.8927,20.821,20.728,20.6006,20.4809,20.3777,20.294,20.2032,20.0862,19.99,19.8935,19.7789,19.664
26.0145,26.0154,26.0165,26.0162,26.0172,26.0173,26.0164,26.0166,26.0161,26.0137,26.012,26.0072,26.0029,25.9995,25.9938,25.9869,25.9812,25.9684,25.9189,25.8076,25.7271,25.6423,25.5667,25.462,25.349,25.243,25.0857,24.9599,24.7947,24.6044,24.4566,24.3051,24.1648,24.0611,23.9738,23.9134,23.8373,23.7534,23.6871,23.6165,23.5498,23.4854,23.4427,23.3965,23.3587,23.323,23.2759,23.2394,23.1999,23.1626,23.12,23.0837,23.0508,23.0093,22.9777,22.9483,22.9195,22.8898,22.8585,22.8263,22.7913,22.7627,22.7316,22.7067,22.6763,22.6449,22.6065,22.5713,22.5374,22.5076,22.4763,22.4409,22.4021,22.3513,22.3077,22.2606,22.2232,22.1856,22.1383,22.0995,22.0555,22.0007,21.9506,21.9095,21.8472,21.7743,21.7032,21.6355,21.5792,21.5146,21.449,21.3789,21.2943,21.2207,21.1494,21.0919,21.0171,20.9447,20.8625,20.7728
26.2869,26.2852,26.287,26.2876,26.2869,26.2872,26.2865,26.2848,26.2833,26.2819,26.2784,26.2745,26.2728,26.2693,26.2676,26.2648,26.2622,26.2568,26.2528,26.251,26.2481,26.2435,26.2378,26.2211,26.1652,26.1241,26.1,26.0548,25.941,25.8377,25.6541,25.4709,25.2735,25.0338,24.814,24.634,24.4813,24.3206,24.1643,24.0165,23.8915,23.7843,23.6437,23.5552,23.4461,23.3448,23.2401,23.1481,23.0532,22.9853,22.9133,22.8245,22.7591,22.6751,22.5853,22.5033,22.4216,22.3692,22.3086,22.2287,22.1634,22.1066,22.0159,21.9008,21.8179,21.7412,21.645,21.5702,21.4876,21.4121,21.3257,21.2445,21.1554,21.066,20.9887,20.8988,20.807,20.7264,20.6453,20.5566,20.4778,20.3848,20.3079,20.2262,20.1091,20.0185,19.8878,19.7689,19.6913,19.6062,19.5239,19.4501,19.3564,19.2389,19.1139,18.9819,18.8548,18.7412,18.6051,18.4504
24.9407,24.9446,24.9424,24.9434,24.9407,24.9392,24.939,24.9373,24.9368,24.9326,24.9331,24.9276,24.922,24.9195,24.9167,24.9141,24.9126,24.9113,24.9063,24.9049,24.9021,24.9012,24.9011,24.9008,24.9007,24.9005,24.8992,24.8982,24.8961,24.8951,24.8916,24.8865,24.8795,24.8618,24.803,24.7259,24.6293,24.5428,24.4697,24.3524,24.2133,24.1192,23.9715,23.8854,23.7056,23.4804,23.3122,23.1514,22.9821,22.839,22.6804,22.5599,22.4967,22.4321,22.3435,22.2716,22.1991,22.1347,22.066,21.9864,21.9291,21.8404,21.7674,21.7018,21.6408,21.573,21.5295,21.4523,21.3897,21.3058,21.2341,21.1282,21.0543,20.9878,20.8901,20.8007,20.702,20.6242,20.5294,20.4194,20.2963,20.1984,20.0964,19.9666,19.8387,19.7181,19.6152,19.5152,19.4139,19.3289,19.2423,19.1308,18.9782,18.8256,18.6693,18.5775,18.4716,18.3874,18.2856,18.0844
23.3956,23.3973,23.398,23.3983,23.3988,23.3997,23.4012,23.4015,23.4014,23.402,23.4027,23.4035,23.4044,23.4034,23.404,23.4045,23.405,23.4057,23.4059,23.4061,23.4065,23.407,23.4074,23.4075,23.408,23.4088,23.409,23.4091,23.409,23.4096,23.4095,23.4096,23.4064,23.4022,23.3963,23.3924,23.3871,23.3797,23.3746,23.3687,23.3622,23.3528,23.3486,23.3395,23.3283,23.3197,23.3119,23.3043,23.2936,23.2799,23.263,23.245,23.2217,23.1958,23.1568,23.0994,23.0467,22.9929,22.941,22.8806,22.7876,22.7003,22.5452,22.415,22.2932,22.1439,22.0009,21.8314,21.7053,21.5758,21.4282,21.3028,21.1814,21.0413,20.9129,20.8066,20.7018,20.6255,20.5451,20.4627,20.3702,20.2546,20.168,20.0341,19.9308,19.7742,19.6648,19.579,19.4576,19.2896,19.174,19.0718,18.9576,18.8039,18.7013,18.6112,18.5403,18.4513,18.3294,18.1871
22.9082,22.909,22.9096,22.9107,22.9113,22.9119,22.9126,22.9107,22.9087,22.9066,22.9048,22.9043,22.904,22.9014,22.8983,22.8972,22.8957,22.8918,22.8872,22.8827,22.8807,22.8777,22.8738,22.8708,22.869,22.866,22.8635,22.8625,22.8608,22.8595,22.8594,22.8577,22.8557,22.8554,22.8548,22.8533,22.8499,22.8476,22.8442,22.8418,22.839,22.8374,22.8259,22.7981,22.7858,22.7759,22.7472,22.7177,22.6955,22.6576,22.6226,22.5838,22.5322,22.5076,22.4317,22.3685,22.2892,22.2044,22.1066,21.9722,21.8393,21.7277,21.5902,21.5084,21.3724,21.2787,21.135,20.9852,20.8749,20.778,20.5811,20.4168,20.3322,20.1932,20.0524,19.962,19.8283,19.7459,19.6515,19.5726,19.4646,19.3421,19.2235,19.1014,18.9743,18.8838,18.7731,18.6673,18.5849,18.4488,18.3555,18.2394,18.1259,18.0297,17.9322,17.8188,17.719,17.6374,17.5063,17.3873
22.9557,22.9577,22.9567,22.9332,22.9091,22.8972,22.8914,22.8881,22.8765,22.8633,22.8483,22.8397,22.823,22.8125,22.8008,22.7894,22.7776,22.7655,22.7548,22.7386,22.7213,22.7022,22.6805,22.6672,22.6567,22.6406,22.6224,22.6054,22.5857,22.5688,22.5526,22.5237,22.5057,22.4785,22.4544,22.4225,22.4038,22.3786,22.3616,22.3504,22.3294,22.3184,22.2933,22.2576,22.2335,22.2193,22.1956,22.1793,22.1541,22.1346,22.1092,22.0901,22.0766,22.0606,22.0401,22.024,22.0126,21.9988,21.9868,21.9734,21.9638,21.9516,21.9404,21.9245,21.9096,21.8908,21.8713,21.8521,21.8308,21.8039,21.7764,21.7346,21.6824,21.6366,21.5899,21.5435,21.4717,21.3985,21.317,21.1987,21.094,20.9918,20.9295,20.8453,20.7964,20.7233,20.575,20.3718,20.1965,20.0422,19.8253,19.6949,19.5686,19.4723,19.4035,19.3001,19.1511,19.0154,18.8961,18.77
25.1551,25.1414,25.0751,24.9533,24.801,24.644,24.5515,24.4414,24.3113,24.1568,24.0187,23.8559,23.6938,23.6172,23.5477,23.4333,23.2994,23.1692,23.0869,22.9947,22.905,22.8335,22.7769,22.7206,22.6761,22.6162,22.5684,22.541,22.4967,22.4497,22.4025,22.3602,22.3133,22.274,22.246,22.2137,22.1731,22.1449,22.1154,22.0752,22.0455,22.017,21.9825,21.9506,21.9269,21.9052,21.8754,21.8485,21.8239,21.7886,21.7746,21.743,21.7046,21.6656,21.6258,21.578,21.5335,21.4946,21.4568,21.4252,21.4038,21.3694,21.3323,21.2982,21.259,21.2215,21.186,21.153,21.1069,21.0644,21.0171,20.9759,20.9396,20.9011,20.8564,20.8035,20.7417,20.6998,20.6504,20.589,20.5296,20.4711,20.3916,20.3323,20.2674,20.217,20.1736,20.0719,19.9486,19.8524,19.7422,19.6217,19.4821,19.328,19.2026,19.1303,19.0425,18.9562,18.8724,18.764
25.5392,25.539,25.5355,25.5363,25.5284,25.5115,25.4986,25.487,25.4667,25.4568,25.432,25.4002,25.3806,25.3536,25.3241,25.2829,25.2446,25.1473,25.019,24.8888,24.7428,24.6024,24.4526,24.28,24.0228,23.8342,23.6908,23.5604,23.4239,23.3154,23.2174,23.1187,23.0449,22.9878,22.9389,22.9075,22.8473,22.7882,22.7444,22.6917,22.638,22.5846,22.5446,22.4944,22.4558,22.4158,22.3791,22.3466,22.3133,22.2727,22.2354,22.1847,22.1516,22.1102,22.0632,22.0268,21.9837,21.9423,21.9038,21.8677,21.8221,21.7862,21.7398,21.7022,21.6696,21.6421,21.6017,21.567,21.5189,21.4743,21.433,21.379,21.327,21.2603,21.2115,21.1699,21.1382,21.1058,21.0667,21.0379,20.9984,20.9628,20.9221,20.8846,20.8394,20.7947,20.7334,20.687,20.6353,20.5774,20.5043,20.4286,20.3578,20.3091,20.2172,20.1279,20.0442,19.9726,19.9113,19.8503
25.8204,25.8182,25.8166,25.8131,25.8005,25.7943,25.7974,25.793,25.7849,25.7756,25.7699,25.7595,25.7502,25.7374,25.7271,25.7175,25.7039,25.6509,25.571,25.5038,25.3998,25.2858,25.1863,25.0322,24.9116,24.7512,24.5913,24.4247,24.2522,24.0796,23.9398,23.7506,23.5596,23.4075,23.2692,23.1852,23.1289,23.0382,22.9469,22.8835,22.8334,22.7815,22.7239,22.6647,22.6162,22.5657,22.5155,22.484,22.4528,22.4128,22.3759,22.3334,22.2983,22.2604,22.224,22.1889,22.1494,22.1056,22.0668,22.0282,21.9886,21.9536,21.9271,21.9009,21.8718,21.8405,21.8031,21.7671,21.731,21.6994,21.6644,21.6172,21.5867,21.5523,21.4954,21.4469,21.395,21.3549,21.3122,21.2725,21.2116,21.1377,21.0628,20.9939,20.9054,20.8034,20.7148,20.6479,20.5724,20.4699,20.367,20.3024,20.2351,20.1523,20.0736,20.005,19.9044,19.8049,19.7026,19.585
26.1457,26.1505,26.15,26.1525,26.143,26.1346,26.1263,26.1111,26.0878,26.0631,26.0401,26.0271,26.0182,26.0109,26.0057,25.9964,25.9876,25.9662,25.9426,25.916,25.8783,25.8154,25.7417,25.5968,25.3457,25.1119,24.9389,24.7737,24.5162,24.3133,24.1439,23.975,23.8384,23.7202,23.6064,23.5034,23.3912,23.2691,23.1699,23.1231,23.0427,22.9595,22.8999,22.8286,22.7768,22.7064,22.667,22.5944,22.5214,22.4694,22.4252,22.3569,22.3035,22.248,22.1897,22.1293,22.0743,22.022,21.9721,21.9188,21.8636,21.8172,21.7805,21.7425,21.6932,21.6573,21.6112,21.5726,21.5331,21.4867,21.4505,21.4006,21.3623,21.3181,21.2721,21.2477,21.2138,21.1833,21.1557,21.119,21.0804,21.0396,21.0063,20.9691,20.936,20.9093,20.8684,20.8475,20.816,20.788,20.754,20.7157,20.6916,20.6709,20.6416,20.6039,20.5866,20.5651,20.5353,20.5046
26.547,26.5464,26.5439,26.5429,26.5414,26.5368,26.5338,26.527,26.5182,26.5102,26.5018,26.4946,26.4784,26.4521,26.4195,26.3758,26.3307,26.2745,26.2137,26.1594,26.0459,25.9084,25.6936,25.4339,25.1726,24.8553,24.5055,24.262,23.999,23.7718,23.5295,23.3601,23.2009,23.0813,22.9922,22.9051,22.8035,22.7125,22.5986,22.5074,22.4077,22.3077,22.2045,22.1341,22.0639,21.9891,21.9151,21.849,21.7454,21.6769,21.6016,21.543,21.4802,21.4103,21.3443,21.2895,21.2359,21.1723,21.0945,21.0246,20.9699,20.9081,20.8356,20.7773,20.7253,20.6604,20.587,20.5228,20.4628,20.4059,20.3481,20.283,20.1951,20.1153,20.0296,19.9537,19.8862,19.8275,19.7659,19.6903,19.6234,19.5577,19.474,19.3655,19.29,19.2152,19.1378,19.0414,18.9415,18.8548,18.7605,18.6987,18.615,18.503,18.392,18.2821,18.1854,18.0919,17.9454,17.8259
